$ ghdl -r --ieee=synopsys TB_filtro2 --vcd=resultadosTB2.vcd
../../src/ieee/v93/numeric_std-body.vhdl:1640:7:@3ns:(assertion warning): NUMERIC_STD."=": metavalue detected, returning FALSE
TB_filtro2.vhd:90:24:@3ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@5ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@6ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@7ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@8ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@9ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@10ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@11ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@12ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@13ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@14ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@15ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@16ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@17ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@18ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@19ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@20ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@21ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@22ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@23ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@24ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@25ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@26ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@27ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@28ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@29ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@30ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@31ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@32ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@33ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@34ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@35ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@36ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@37ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@38ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@39ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@40ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@41ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@42ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@43ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@44ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@45ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@46ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@47ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@48ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@49ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@50ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@51ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@52ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@53ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@54ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@55ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@56ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@57ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@58ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@59ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@60ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@61ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@62ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@63ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@64ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@65ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@66ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@67ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@68ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@69ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@70ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@71ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@73ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@74ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@75ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@76ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@77ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@78ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@79ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@80ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@81ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:90:24:@82ns:(assertion error): No coincide el valor de res
TB_filtro2.vhd:75:32:@82ns:(assertion failure): Se ha llegado al final del fichero de entrada. Comprobar si hay errores anteriores a este mensaje.
./tb_filtro2:error: assertion failed
in process .tb_filtro2(test).simulacion
./tb_filtro2:error: simulation failed
